city,state_province,country,lat,lon,geo_level
,California,United States,36.7014631,-118.755997,state
,Illinois,United States,40.0796606,-89.4337288,state
,New Jersey,United States,40.0757384,-74.4041622,state
,New York,United States,40.7127281,-74.0060152,state
,Oregon,United States,43.9792797,-120.737257,state
,Virginia,United States,37.1232245,-78.4927721,state
,Maryland,United States,39.5162401,-76.9382069,state
,Mainland China,China,35.759132,98.8622891,state
,New South Wales,Australia,-31.8759835,147.2869493,state
,North Holland,Netherlands,52.7212825,4.820665,state
,Idaho,United States,43.6447642,-114.015407,state
Beijing,,China,40.190632,116.412144,city
